港·澳·台,#genre#
翡翠台,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
明珠台,http://xjayrf.eatuo.com:9901/tsfile/live/1005_1.m3u8
星河台,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/chunklist.m3u8
凤凰中文,https://play-flive.ifeng.com/live/06OLEGEGM4G.flv
凤凰资讯,https://play-flive.ifeng.com/live/06OLEEWQKN4.flv
凤凰香港,http://113.64.145.61:8081/hls/38/index.m3u8
中天新闻,http://ali.hlspull.yximgs.com/live/huanqiuhklivepjjtvvjjjyjuujjfvbscvjdjtwjfsjjsjjjcvuyjemjejtxw.flv
广东频道,#genre#
广东珠江,http://113.86.204.95:9999/udp/239.77.0.1:5146
广东新闻,http://113.101.119.52:808/hls/106/index.m3u8
广州新闻,http://www.namewee.xyz/gudou.php?id=gzhouzongheHD
佛山综合,http://www.namewee.xyz/gudou.php?id=foshanzongheHD_4500
佛山公共,http://www.namewee.xyz/gudou.php?id=foshangonggongHD_4500
央视频道,#genre#
CCTV-1,http://14.117.233.245:9000/udp/239.77.0.188:5146
CCTV-2,http://112.114.137.121:888/hls/2/index.m3u8
CCTV-3,http://114.100.195.107:4022/rtp/238.1.78.170:7232
CCTV-4,http://lu1.cc/itv/php/cctv4k.php
CCTV-5,http://114.249.19.38:4022/rtp/239.3.1.173:8001
CCTV-5+,http://114.249.19.38:4022/rtp/239.3.1.173:8001
CCTV-6,http://117.141.149.101:4431/tsfile/live/faacts/0006_1.m3u8
CCTV-7,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV-8,http://220.178.185.92:4022/rtp/238.1.78.173:7256
CCTV-9,http://121.24.99.52:8090/hls/17/index.m3u8
CCTV-10,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8
CCTV-11,http://xxw.me0.cn/api/migu.php?id=14
CCTV-12,http://xxw.me0.cn/api/migu.php?id=15
CCTV-13,http://14.117.233.245:9000/udp/239.77.0.188:5146
CCTV-14,http://222.240.82.92:9901/tsfile/live/0014_1.m3u8
CCTV-15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV-16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV-17,http://xxw.me0.cn/api/migu.php?id=19
